UserID,Type,CLGroup,CLRole,PlayerRole
10116,non-gamified,GroupC,Master,
10119,ont-gamified,Grupo Zeus,Master,Yee Achiever
10120,ont-gamified,Grupo Hélio,Master,Yee Socializer
10121,ont-gamified,Grupo Hades,Master,Yee Achiever
10122,non-gamified,GroupB,Apprentice,
10123,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever
10125,non-gamified,GroupB,Apprentice,
10126,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer
10127,ont-gamified,Grupo Hades,Apprentice,Yee Achiever
10128,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever
10129,non-gamified,GroupB,Apprentice,
10130,non-gamified,GroupC,Apprentice,
10131,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever
10132,non-gamified,GroupA,Apprentice,
10133,ont-gamified,Grupo Hades,Apprentice,Yee Achiever
10134,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer
10135,non-gamified,GroupB,Apprentice,
10136,non-gamified,GroupC,Apprentice,
10137,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever
10138,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer
10139,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever
10140,non-gamified,GroupC,Apprentice,
10141,ont-gamified,Grupo Apolo,Master,Yee Socializer
10142,ont-gamified,Grupo Hades,Apprentice,Yee Achiever
10143,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer
10144,non-gamified,GroupA,Master,
10145,non-gamified,GroupB,Master,
10146,non-gamified,GroupA,Apprentice,
10147,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever
10148,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer
10149,non-gamified,GroupA,Apprentice,
10151,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer
10152,ont-gamified,Grupo Morfeu,Master,Yee Achiever
10153,non-gamified,GroupA,Apprentice,
10154,non-gamified,GroupC,Apprentice,
10157,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever
10158,non-gamified,GroupD,Apprentice,
10159,non-gamified,GroupD,Apprentice,
10160,non-gamified,GroupD,Master,
