UserID,Type,CLGroup,CLRole,PlayerRole
10116,non-gamified,GroupC,Master,NA
10119,ont-gamified,Grupo Zeus,Master,Yee Achiever
10120,ont-gamified,Grupo Hélio,Master,Yee Socializer
10121,ont-gamified,Grupo Hades,Master,Yee Achiever
10122,non-gamified,GroupB,Apprentice,NA
10123,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever
10125,non-gamified,GroupB,Apprentice,NA
10126,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer
10129,non-gamified,GroupB,Apprentice,NA
10130,non-gamified,GroupC,Apprentice,NA
10131,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever
10134,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer
10135,non-gamified,GroupB,Apprentice,NA
10137,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever
10138,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer
10139,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever
10141,ont-gamified,Grupo Apolo,Master,Yee Socializer
10142,ont-gamified,Grupo Hades,Apprentice,Yee Achiever
10143,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer
10144,non-gamified,GroupA,Master,NA
10145,non-gamified,GroupB,Master,NA
10146,non-gamified,GroupA,Apprentice,NA
10148,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer
10152,ont-gamified,Grupo Morfeu,Master,Yee Achiever
10157,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever
10160,non-gamified,GroupD,Master,NA
